# engine=postgres source=pg_health v=1 format=csv scope=cluster db=orders_db dbid= status=started window=20s schedule=periodic interval=10s samples_expected=3 ts=2026-08-07T14:32:04.980Z
# engine=postgres source=pg_stat_database v=1 format=csv scope=cluster db=orders_db dbid=16401 sample=1 databases_written=5 databases_total=5 truncated=false ts=2026-08-07T14:32:05.061Z
datid,datname,blks_hit,blks_read,xact_commit,xact_rollback,temp_files,temp_bytes,deadlocks,sessions_fatal,stats_reset
0,,182044,9120,0,0,0,0,0,0,
1,template1,88210,4021,1204,0,0,0,0,0,2026-07-20T02:00:00.000Z
4,template0,0,0,0,0,0,0,0,0,
5,postgres,412008,18804,8821,12,0,0,0,0,2026-07-20T02:00:00.000Z
16401,orders_db,8823401,158220,442198,9532,4,268435456,12,3,2026-07-20T02:00:00.000Z
# engine=postgres source=pg_health v=1 format=csv scope=cluster db=orders_db dbid=16401 sample=2 sample_error="ERROR: canceling statement due to statement timeout" ts=2026-08-07T14:32:15.058Z
# engine=postgres source=pg_stat_database v=1 format=csv scope=cluster db=orders_db dbid=16401 sample=3 databases_written=5 databases_total=5 truncated=false ts=2026-08-07T14:32:25.055Z
datid,datname,blks_hit,blks_read,xact_commit,xact_rollback,temp_files,temp_bytes,deadlocks,sessions_fatal,stats_reset
0,,182166,9121,0,0,0,0,0,0,
1,template1,88210,4021,1204,0,0,0,0,0,2026-07-20T02:00:00.000Z
4,template0,0,0,0,0,0,0,0,0,
5,postgres,412311,18804,8825,12,0,0,0,0,2026-07-20T02:00:00.000Z
16401,orders_db,8859944,159602,442481,9544,5,356515840,15,4,2026-07-20T02:00:00.000Z
# engine=postgres source=pg_health v=1 format=csv scope=cluster db=orders_db dbid=16401 status=partial samples_expected=3 samples_written=2 ts=2026-08-07T14:32:35.002Z
