Name                                                           Priority  ProcessId  
System Idle Process                                            0         0          
System                                                         8         4          
Registry                                                       8         100        
smss.exe                                                       11        416        
csrss.exe                                                      13        576        
wininit.exe                                                    13        648        
csrss.exe                                                      13        656        
winlogon.exe                                                   13        724        
services.exe                                                   9         796        
lsass.exe                                                      9         816        
svchost.exe                                                    8         932        
fontdrvhost.exe                                                8         964        
fontdrvhost.exe                                                8         972        
svchost.exe                                                    8         444        
svchost.exe                                                    8         640        
dwm.exe                                                        13        448        
svchost.exe                                                    8         1168       
svchost.exe                                                    8         1176       
svchost.exe                                                    8         1216       
svchost.exe                                                    8         1340       
svchost.exe                                                    8         1348       
svchost.exe                                                    8         1356       
svchost.exe                                                    8         1452       
svchost.exe                                                    10        1472       
svchost.exe                                                    8         1516       
svchost.exe                                                    8         1552       
svchost.exe                                                    8         1720       
svchost.exe                                                    8         1784       
svchost.exe                                                    8         1800       
svchost.exe                                                    8         1824       
svchost.exe                                                    8         1892       
svchost.exe                                                    8         1980       
Memory Compression                                             8         2000       
svchost.exe                                                    8         1672       
svchost.exe                                                    8         2064       
svchost.exe                                                    8         2096       
svchost.exe                                                    8         2180       
svchost.exe                                                    8         2192       
svchost.exe                                                    8         2300       
svchost.exe                                                    8         2364       
svchost.exe                                                    8         2388       
svchost.exe                                                    8         2444       
ctfmon.exe                                                     13        2452       
svchost.exe                                                    8         2488       
spoolsv.exe                                                    8         2636       
svchost.exe                                                    8         2740       
svchost.exe                                                    8         2836       
svchost.exe                                                    8         2944       
svchost.exe                                                    8         2956       
svchost.exe                                                    8         2972       
svchost.exe                                                    8         2996       
MpDefenderCoreService.exe                                      8         3052       
svchost.exe                                                    8         2224       
pg_ctl.exe                                                     8         2272       
svchost.exe                                                    8         2436       
VGAuthService.exe                                              8         556        
vm3dservice.exe                                                8         2868       
vmtoolsd.exe                                                   13        3120       
svchost.exe                                                    8         3160       
svchost.exe                                                    8         3168       
MsMpEng.exe                                                    8         3184       
vm3dservice.exe                                                13        3536       
svchost.exe                                                    8         3920       
postgres.exe                                                   8         3988       
conhost.exe                                                    8         4008       
sihost.exe                                                     8         4064       
dllhost.exe                                                    8         3208       
svchost.exe                                                    8         3708       
svchost.exe                                                    8         4224       
WmiPrvSE.exe                                                   8         4292       
svchost.exe                                                    8         4360       
svchost.exe                                                    8         4492       
svchost.exe                                                    8         4500       
AggregatorHost.exe                                             8         4596       
postgres.exe                                                   8         4700       
postgres.exe                                                   8         4732       
postgres.exe                                                   8         4740       
taskhostw.exe                                                  8         4788       
msdtc.exe                                                      8         4812       
postgres.exe                                                   8         4892       
postgres.exe                                                   8         4900       
postgres.exe                                                   8         4908       
explorer.exe                                                   8         4464       
ShellHost.exe                                                  8         4592       
svchost.exe                                                    8         4484       
svchost.exe                                                    8         5200       
svchost.exe                                                    8         5208       
svchost.exe                                                    8         5460       
svchost.exe                                                    8         5476       
CrossDeviceResume.exe                                          8         5556       
svchost.exe                                                    8         5616       
StartMenuExperienceHost.exe                                    8         6296       
SearchHost.exe                                                 8         6364       
RuntimeBroker.exe                                              8         6528       
svchost.exe                                                    8         6588       
WidgetBoard.exe                                                8         6604       
msedgewebview2.exe                                             8         7052       
msedgewebview2.exe                                             8         7136       
WidgetService.exe                                              8         5496       
svchost.exe                                                    8         7088       
UserOOBEBroker.exe                                             8         7204       
msedgewebview2.exe                                             8         7508       
msedgewebview2.exe                                             10        7516       
msedgewebview2.exe                                             8         7724       
msedgewebview2.exe                                             4         7772       
MicrosoftStartFeedProvider.exe                                 8         6464       
svchost.exe                                                    8         6548       
svchost.exe                                                    8         8292       
svchost.exe                                                    8         8548       
SearchIndexer.exe                                              8         8704       
NisSrv.exe                                                     8         1080       
svchost.exe                                                    8         9880       
firefox.exe                                                    8         9540       
crashhelper.exe                                                8         3552       
firefox.exe                                                    10        9116       
firefox.exe                                                    8         10304      
firefox.exe                                                    8         10480      
firefox.exe                                                    8         10556      
firefox.exe                                                    4         10732      
firefox.exe                                                    8         10964      
firefox.exe                                                    8         11164      
firefox.exe                                                    8         5976       
firefox.exe                                                    8         10748      
Upwork.exe                                                     8         10788      
Upwork.exe                                                     8         8084       
Upwork.exe                                                     10        10804      
cmon.exe                                                       8         10564      
Upwork.exe                                                     8         10548      
Upwork.exe                                                     8         11348      
Upwork.exe                                                     8         11636      
Upwork.exe                                                     8         11644      
Upwork.exe                                                     8         12256      
SecurityHealthSystray.exe                                      8         11292      
SecurityHealthService.exe                                      8         11288      
vmtoolsd.exe                                                   8         4660       
OneDrive.exe                                                   8         8448       
svchost.exe                                                    8         9500       
svchost.exe                                                    8         4800       
svchost.exe                                                    8         2528       
OneDrive.Sync.Service.exe                                      8         860        
svchost.exe                                                    8         2692       
powershell.exe                                                 8         11576      
conhost.exe                                                    8         2412       
OpenConsole.exe                                                8         5048       
WindowsTerminal.exe                                            8         9668       
svchost.exe                                                    8         4532       
svchost.exe                                                    8         11884      
svchost.exe                                                    8         5140       
ms-teams.exe                                                   8         9988       
RuntimeBroker.exe                                              8         11712      
msedgewebview2.exe                                             8         7272       
msedgewebview2.exe                                             8         10632      
msedgewebview2.exe                                             8         9352       
msedgewebview2.exe                                             10        2360       
msedgewebview2.exe                                             8         4876       
msedgewebview2.exe                                             8         5008       
PAD.Console.Host.exe                                           8         12800      
PAD.AutomationServer.exe                                       8         12912      
RuntimeBroker.exe                                              8         12960      
PAD.BridgeToUIAutomation2.exe                                  8         13072      
conhost.exe                                                    8         13088      
svchost.exe                                                    8         2024       
git-bash.exe                                                   8         3472       
mintty.exe                                                     8         10624      
conhost.exe                                                    8         6432       
bash.exe                                                       8         9032       
svchost.exe                                                    8         10016      
svchost.exe                                                    8         12004      
svchost.exe                                                    8         4312       
svchost.exe                                                    8         9036       
svchost.exe                                                    8         6340       
svchost.exe                                                    8         6636       
SystemSettings.exe                                             8         2712       
ApplicationFrameHost.exe                                       8         3392       
claude.exe                                                     8         9896       
Code.exe                                                       8         12808      
Code.exe                                                       8         9300       
Code.exe                                                       10        5632       
Code.exe                                                       8         8908       
Code.exe                                                       8         9212       
Code.exe                                                       8         10168      
Code.exe                                                       8         12156      
Code.exe                                                       8         6484       
WmiPrvSE.exe                                                   8         4216       
svchost.exe                                                    8         9392       
Code.exe                                                       8         7808       
Code.exe                                                       8         11584      
gopls.exe                                                      8         9324       
conhost.exe                                                    8         9244       
gopls.exe                                                      8         8716       
svchost.exe                                                    8         2244       
dllhost.exe                                                    8         4476       
firefox.exe                                                    4         5888       
firefox.exe                                                    8         12152      
CodeSetup-stable-645f29cc3176500b4b5762ba887cf2a7f0ffdf2c.exe  8         1212       
CodeSetup-stable-645f29cc3176500b4b5762ba887cf2a7f0ffdf2c.tmp  8         1928       
FileCoAuth.exe                                                 8         3320       
gopls.exe                                                      8         2124       
conhost.exe                                                    8         4392       
gopls.exe                                                      8         7280       
MoNotificationUx.exe                                           8         14292      
svchost.exe                                                    8         6260       
svchost.exe                                                    8         13588      
svchost.exe                                                    8         13648      
svchost.exe                                                    8         15724      
audiodg.exe                                                    8         15640      
SearchProtocolHost.exe                                         8         13740      
powershell.exe                                                 8         15140      
go.exe                                                         8         14348      
go.exe                                                         8         15860      
capture.test.exe                                               8         15320      
WMIC.exe                                                       8         14284      

